age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
202,35,technician,single,tertiary,0,2658,1,0,cellular,19,aug,768,2,141,3,failure,1
204,29,blue-collar,single,tertiary,0,455,0,0,telephone,21,apr,403,1,-1,0,unknown,1
215,42,management,married,tertiary,0,372,1,0,cellular,3,aug,654,2,-1,0,unknown,1
259,29,blue-collar,single,secondary,0,482,0,1,cellular,10,jul,1097,3,-1,0,unknown,1
271,24,blue-collar,single,secondary,0,174,1,1,cellular,18,may,487,1,-1,0,unknown,1
289,34,admin.,married,tertiary,0,69,0,1,cellular,4,aug,120,3,1,6,success,1
290,50,blue-collar,married,primary,0,4108,1,0,cellular,7,aug,526,2,-1,0,unknown,1
295,49,entrepreneur,divorced,unknown,1,-701,1,0,cellular,30,jul,988,2,-1,0,unknown,1
297,45,blue-collar,divorced,primary,0,-311,1,0,unknown,23,may,1030,1,-1,0,unknown,1
298,38,entrepreneur,married,secondary,0,593,1,1,cellular,24,jul,1484,24,-1,0,unknown,1
299,32,blue-collar,married,secondary,0,759,1,0,cellular,9,apr,317,5,-1,0,unknown,1
306,49,entrepreneur,married,secondary,0,687,1,0,cellular,17,apr,772,1,-1,0,unknown,1
314,25,admin.,single,tertiary,0,760,1,0,cellular,27,may,223,3,89,2,failure,1
318,35,entrepreneur,married,secondary,0,2971,0,0,cellular,4,may,429,4,164,2,failure,1
323,38,management,married,tertiary,0,1199,0,0,cellular,4,aug,178,1,1,1,success,1
327,35,entrepreneur,single,tertiary,0,145,1,0,cellular,18,jul,799,2,-1,0,unknown,1
328,35,unemployed,married,secondary,0,978,0,0,cellular,29,dec,1370,3,209,3,success,1
333,32,services,married,primary,0,228,1,0,cellular,21,jul,1017,6,-1,0,unknown,1
334,30,management,single,tertiary,0,424,0,0,cellular,16,apr,298,4,-1,0,unknown,1
347,55,management,married,primary,0,2587,0,0,cellular,4,sep,328,2,94,2,success,1
358,48,admin.,divorced,secondary,0,4099,0,0,cellular,2,apr,397,2,-1,0,unknown,1
368,60,technician,single,primary,0,11262,0,0,cellular,26,aug,323,1,-1,0,unknown,1
377,37,management,married,tertiary,0,393,1,0,cellular,14,may,567,3,275,4,failure,1
382,59,retired,married,tertiary,0,9676,0,0,telephone,27,mar,234,2,-1,0,unknown,1
401,28,blue-collar,single,secondary,0,517,0,1,cellular,8,jul,681,1,-1,0,unknown,1
409,54,admin.,married,secondary,0,0,0,0,cellular,28,jan,161,1,98,2,failure,1
412,75,retired,divorced,tertiary,0,3810,1,0,cellular,16,nov,262,1,183,1,failure,1
415,49,management,divorced,tertiary,0,755,0,0,cellular,31,jul,1212,4,-1,0,unknown,1
443,30,management,married,tertiary,0,1221,1,0,telephone,25,jul,279,4,-1,0,unknown,1
450,35,technician,married,secondary,0,4508,1,0,cellular,18,nov,854,1,-1,0,unknown,1
456,34,self-employed,single,tertiary,0,5462,0,0,cellular,30,apr,430,1,-1,0,unknown,1
464,32,blue-collar,married,secondary,0,889,1,0,cellular,10,sep,185,1,99,5,success,1
473,61,admin.,married,secondary,0,4608,0,0,cellular,12,mar,212,1,-1,0,unknown,1
477,77,retired,married,tertiary,0,7802,0,0,telephone,4,may,421,1,92,2,success,1
492,53,admin.,married,secondary,0,1796,0,0,telephone,16,mar,295,1,91,2,success,1
493,46,admin.,married,secondary,0,22,0,0,cellular,26,aug,388,6,-1,0,unknown,1
494,44,technician,single,secondary,0,244,1,0,cellular,12,aug,1735,4,-1,0,unknown,1
503,19,student,single,primary,0,103,0,0,cellular,10,jul,104,2,-1,0,unknown,1
509,30,blue-collar,single,secondary,0,315,0,0,cellular,23,jun,1407,1,-1,0,unknown,1
512,52,technician,married,secondary,0,195,1,0,cellular,18,feb,220,1,63,5,failure,1
517,36,blue-collar,married,primary,0,1925,1,0,cellular,20,apr,904,2,-1,0,unknown,1
540,47,admin.,single,secondary,0,3696,0,0,cellular,12,jul,250,2,181,4,success,1
557,43,management,single,tertiary,0,1304,0,0,cellular,6,aug,501,2,-1,0,unknown,1
558,41,blue-collar,married,secondary,1,720,0,1,cellular,24,jul,651,1,-1,0,unknown,1
581,28,technician,single,secondary,0,227,0,0,cellular,30,apr,278,1,-1,0,unknown,1
603,32,services,single,secondary,0,2881,0,0,cellular,2,jul,356,1,-1,0,unknown,1
613,41,self-employed,married,tertiary,0,231,0,0,cellular,7,aug,352,2,-1,0,unknown,1
619,35,technician,married,tertiary,0,7050,0,0,cellular,11,aug,222,3,182,4,success,1
630,30,management,single,tertiary,0,2,1,1,cellular,25,jul,1031,8,-1,0,unknown,1
634,58,self-employed,divorced,tertiary,0,1382,0,0,unknown,9,jun,700,1,-1,0,unknown,1
639,27,management,single,tertiary,0,703,1,0,unknown,5,jun,590,3,-1,0,unknown,1
643,39,management,married,tertiary,0,2763,1,0,unknown,2,jun,526,2,-1,0,unknown,1
645,46,self-employed,married,secondary,0,548,0,0,cellular,12,aug,1181,4,-1,0,unknown,1
661,28,management,single,tertiary,0,0,1,0,cellular,16,jul,767,5,-1,0,unknown,1
662,38,technician,single,tertiary,0,25,1,0,cellular,1,jun,232,2,-1,0,unknown,1
684,28,services,single,secondary,0,168,0,0,cellular,1,jun,347,3,140,2,success,1
702,32,management,divorced,tertiary,0,874,0,0,cellular,12,aug,1282,6,-1,0,unknown,1
704,59,retired,married,unknown,0,1033,0,0,unknown,11,jun,1199,1,-1,0,unknown,1
705,35,self-employed,divorced,tertiary,0,1354,1,0,unknown,23,may,736,2,-1,0,unknown,1
732,50,management,married,tertiary,0,3463,0,1,cellular,28,oct,96,1,-1,0,unknown,1
737,36,technician,married,secondary,0,480,0,0,cellular,20,oct,213,1,-1,0,unknown,1
741,28,management,single,secondary,0,1633,0,0,cellular,5,jun,275,1,-1,0,unknown,1
743,55,retired,married,primary,0,3334,0,0,cellular,14,aug,632,4,-1,0,unknown,1
756,48,management,married,tertiary,0,1167,1,1,cellular,1,jun,264,1,-1,0,unknown,1
794,29,blue-collar,single,secondary,0,908,1,0,unknown,20,jun,1663,1,-1,0,unknown,1
809,34,management,married,tertiary,0,703,1,0,cellular,14,apr,342,1,-1,0,unknown,1
823,43,management,married,tertiary,0,1429,1,0,cellular,19,nov,1015,1,198,2,other,1
831,47,blue-collar,married,secondary,0,1996,0,0,unknown,5,jun,761,2,-1,0,unknown,1
837,39,services,single,secondary,0,7066,1,0,cellular,15,may,667,3,357,3,other,1
849,55,housemaid,divorced,primary,0,976,0,0,cellular,28,jun,345,1,94,3,other,1
855,46,management,divorced,tertiary,0,624,0,0,cellular,17,sep,336,2,183,2,success,1
862,41,admin.,single,secondary,0,1020,1,0,unknown,19,may,882,1,-1,0,unknown,1
871,31,housemaid,single,primary,0,26965,0,0,cellular,21,apr,654,2,-1,0,unknown,1
880,26,admin.,single,secondary,0,255,0,0,cellular,30,apr,457,1,80,1,success,1
886,60,technician,married,primary,0,65,1,0,unknown,9,may,1028,2,-1,0,unknown,1
892,27,student,single,tertiary,0,5291,0,0,cellular,12,nov,192,2,92,2,failure,1
905,28,services,single,secondary,0,198,0,0,cellular,5,jul,128,2,-1,0,unknown,1
940,34,blue-collar,divorced,unknown,0,172,0,0,cellular,15,jun,177,1,-1,0,unknown,1
941,34,management,married,tertiary,0,0,1,0,cellular,7,aug,262,1,99,2,success,1
944,40,blue-collar,married,secondary,0,1451,0,0,cellular,1,jun,314,1,-1,0,unknown,1
945,41,technician,married,secondary,0,1066,0,0,cellular,11,feb,109,3,-1,0,unknown,1
965,33,management,single,tertiary,0,3143,0,0,cellular,29,jun,421,2,-1,0,unknown,1
970,58,self-employed,married,primary,0,1013,1,0,cellular,11,aug,206,1,461,1,failure,1
975,34,blue-collar,single,secondary,0,215,0,0,cellular,3,mar,350,3,-1,0,unknown,1
980,43,management,divorced,tertiary,0,388,1,0,unknown,8,may,2087,2,-1,0,unknown,1
984,59,self-employed,married,tertiary,0,2013,0,0,cellular,19,feb,222,4,94,2,success,1
991,37,admin.,married,tertiary,0,3913,1,0,cellular,27,apr,124,1,-1,0,unknown,1
1007,45,technician,single,secondary,0,410,1,0,unknown,30,may,891,4,-1,0,unknown,1
1017,49,blue-collar,married,secondary,0,-454,1,0,cellular,14,may,558,1,-1,0,unknown,1
1019,53,retired,married,secondary,0,665,1,0,cellular,22,apr,371,2,-1,0,unknown,1
1020,42,technician,married,secondary,0,994,1,0,cellular,11,aug,149,1,78,5,failure,1
1021,45,admin.,married,secondary,0,5346,1,1,unknown,21,oct,187,1,-1,0,unknown,1
1025,56,retired,married,secondary,0,1044,0,0,telephone,3,jul,353,2,-1,0,unknown,1
1040,55,blue-collar,divorced,secondary,0,1613,1,0,cellular,3,apr,296,1,270,3,failure,1
1048,34,services,married,secondary,0,1337,0,0,cellular,17,dec,330,2,127,3,success,1
1056,63,entrepreneur,married,secondary,0,3904,0,0,telephone,4,aug,250,2,187,2,success,1
1060,48,management,married,tertiary,0,1147,0,0,cellular,5,aug,389,1,64,2,success,1
1070,36,blue-collar,married,secondary,0,1049,1,0,cellular,14,may,224,4,-1,0,unknown,1
1076,54,unknown,married,secondary,0,2206,0,0,cellular,12,nov,104,1,99,2,other,1
1077,38,admin.,married,tertiary,0,1988,0,0,cellular,27,mar,164,2,130,2,failure,1
1085,33,blue-collar,married,secondary,0,661,1,0,cellular,18,jul,968,1,-1,0,unknown,1
1109,59,technician,married,secondary,0,1,0,0,cellular,15,apr,159,2,378,3,failure,1
1111,37,technician,married,secondary,0,480,0,0,cellular,22,oct,344,2,182,8,other,1
1124,37,technician,married,unknown,0,189,0,0,cellular,1,oct,238,1,107,2,success,1
1135,57,retired,married,tertiary,0,0,1,1,unknown,28,may,648,1,-1,0,unknown,1
1142,60,management,divorced,tertiary,0,366,0,0,cellular,3,jun,593,1,-1,0,unknown,1
1151,44,admin.,married,secondary,0,205,0,0,cellular,3,nov,289,1,-1,0,unknown,1
1166,32,technician,single,tertiary,0,5514,0,0,cellular,22,apr,319,1,182,1,success,1
1168,33,management,married,tertiary,0,273,1,0,unknown,16,may,803,1,-1,0,unknown,1
1177,28,self-employed,single,tertiary,0,4579,0,0,cellular,12,jan,409,2,-1,0,unknown,1
1179,37,management,married,tertiary,0,5106,0,0,cellular,30,apr,244,1,-1,0,unknown,1
1180,31,technician,married,tertiary,0,636,1,0,cellular,4,may,352,4,-1,0,unknown,1
1181,34,services,married,secondary,0,1076,0,0,cellular,12,may,152,1,182,6,success,1
1190,54,retired,divorced,tertiary,0,0,0,0,unknown,13,may,618,1,-1,0,unknown,1
1206,61,management,married,tertiary,0,6016,0,0,cellular,2,feb,670,3,-1,0,unknown,1
1212,36,management,single,tertiary,0,490,0,0,cellular,28,aug,207,8,98,1,failure,1
1230,75,retired,divorced,secondary,0,1341,0,0,cellular,18,dec,415,7,-1,0,unknown,1
1249,60,blue-collar,married,primary,0,493,0,0,cellular,18,aug,671,4,-1,0,unknown,1
1266,54,unknown,married,unknown,0,895,0,0,cellular,7,oct,335,1,-1,0,unknown,1
1269,27,technician,single,secondary,0,158,0,0,unknown,1,jul,650,2,-1,0,unknown,1
1276,41,management,divorced,tertiary,0,5037,0,0,cellular,23,apr,252,9,185,5,other,1
1277,46,admin.,divorced,secondary,0,2232,0,0,cellular,13,feb,121,1,-1,0,unknown,1
1287,31,management,married,tertiary,0,2603,1,0,cellular,11,feb,280,4,-1,0,unknown,1
1297,32,management,single,tertiary,0,41,0,0,cellular,21,aug,686,5,-1,0,unknown,1
1300,59,retired,divorced,secondary,0,5845,0,0,cellular,14,may,1060,2,-1,0,unknown,1
1303,42,management,married,unknown,0,1519,0,0,cellular,19,oct,230,1,92,1,success,1
1312,80,retired,married,secondary,0,8304,0,0,telephone,9,jun,712,1,64,12,failure,1
1319,49,management,married,secondary,0,1623,1,0,cellular,19,nov,1081,2,-1,0,unknown,1
1332,45,admin.,married,secondary,0,204,1,0,cellular,3,jun,224,2,-1,0,unknown,1
1334,32,management,single,tertiary,0,311,0,0,unknown,12,may,757,2,-1,0,unknown,1
1342,27,admin.,married,secondary,0,710,1,1,cellular,6,may,653,1,334,2,success,1
1343,47,technician,married,secondary,0,1233,1,0,unknown,11,sep,91,1,100,2,other,1
1344,28,management,single,secondary,0,171,0,0,cellular,10,mar,93,1,-1,0,unknown,1
1349,83,retired,married,primary,0,425,0,0,telephone,22,jun,883,1,140,1,failure,1
1379,46,admin.,married,secondary,0,368,0,0,cellular,20,aug,293,1,90,4,other,1
1395,38,technician,married,tertiary,0,3234,0,0,cellular,18,nov,578,2,-1,0,unknown,1
1411,35,blue-collar,single,secondary,0,0,1,0,cellular,16,apr,1174,1,345,4,other,1
1418,38,services,single,secondary,0,2253,1,0,cellular,13,may,937,3,-1,0,unknown,1
1425,36,management,married,tertiary,0,495,0,0,cellular,5,aug,157,3,97,2,success,1
1431,59,retired,single,secondary,0,351,1,0,unknown,27,may,1063,5,-1,0,unknown,1
1435,64,retired,married,secondary,0,1574,0,0,telephone,29,jul,301,3,-1,0,unknown,1
1437,77,retired,married,tertiary,0,0,0,0,cellular,16,oct,847,1,60,1,success,1
1440,56,housemaid,divorced,primary,1,1238,0,0,unknown,5,jun,1558,1,-1,0,unknown,1
1446,32,technician,single,tertiary,0,4665,1,0,unknown,21,may,860,2,-1,0,unknown,1
1449,31,management,married,tertiary,0,1224,1,1,cellular,24,jul,1441,2,-1,0,unknown,1
1454,45,services,single,primary,0,1893,1,0,unknown,3,jun,1259,6,-1,0,unknown,1
1458,36,management,married,tertiary,0,2987,1,0,cellular,12,aug,307,1,-1,0,unknown,1
1464,31,blue-collar,married,secondary,0,1766,0,1,cellular,5,jun,166,2,-1,0,unknown,1
1467,53,services,divorced,secondary,0,0,0,0,cellular,12,mar,80,2,-1,0,unknown,1
1469,59,technician,married,secondary,0,259,0,0,cellular,15,jun,415,1,89,1,success,1
1485,29,technician,single,secondary,0,113,0,0,cellular,12,feb,328,2,183,4,success,1
1501,46,technician,married,secondary,0,57,0,0,unknown,28,may,796,1,-1,0,unknown,1
1504,47,admin.,divorced,secondary,0,225,0,0,cellular,28,aug,1126,4,-1,0,unknown,1
1509,42,admin.,divorced,secondary,0,936,0,0,cellular,30,jan,931,1,-1,0,unknown,1
1532,33,technician,married,secondary,0,133,0,0,cellular,4,may,218,1,-1,0,unknown,1
1534,54,management,divorced,tertiary,0,2171,1,1,telephone,18,nov,1034,1,-1,0,unknown,1
1557,28,student,single,tertiary,0,1562,0,0,cellular,15,feb,659,4,-1,0,unknown,1
1574,42,management,divorced,unknown,0,7702,0,0,cellular,16,feb,138,2,-1,0,unknown,1
1604,49,management,single,tertiary,0,151,1,0,cellular,8,jul,97,3,-1,0,unknown,1
1611,46,management,divorced,tertiary,0,1297,0,0,cellular,11,aug,716,3,-1,0,unknown,1
1638,39,self-employed,single,tertiary,0,426,0,0,unknown,18,jun,1029,1,-1,0,unknown,1
1653,53,blue-collar,married,primary,0,306,0,0,cellular,28,jul,388,3,181,1,success,1
1663,52,blue-collar,divorced,primary,0,-191,1,0,unknown,15,may,755,1,-1,0,unknown,1
1672,47,services,single,unknown,0,1784,0,0,cellular,19,oct,385,2,-1,0,unknown,1
1680,32,technician,single,secondary,0,0,0,0,cellular,18,aug,594,4,-1,0,unknown,1
1693,37,technician,single,secondary,0,2442,0,0,cellular,16,feb,91,3,-1,0,unknown,1
1695,43,admin.,married,secondary,0,132,0,0,cellular,19,aug,574,1,84,3,success,1
1698,31,management,single,tertiary,0,3283,0,0,cellular,2,feb,258,1,73,1,failure,1
1704,35,management,single,tertiary,0,5958,1,0,cellular,22,mar,215,1,-1,0,unknown,1
1705,25,student,single,secondary,0,304,0,0,cellular,26,may,226,2,-1,0,unknown,1
1706,32,blue-collar,single,secondary,0,118,1,0,cellular,17,jul,1275,1,-1,0,unknown,1
1709,46,admin.,married,secondary,0,70,1,0,cellular,27,mar,229,2,-1,0,unknown,1
1719,48,management,married,secondary,0,4415,1,0,cellular,8,apr,1032,3,141,7,failure,1
1727,34,technician,married,tertiary,0,197,0,0,cellular,20,aug,78,3,-1,0,unknown,1
1729,53,admin.,single,secondary,0,2398,1,0,cellular,2,aug,317,1,180,2,failure,1
1736,40,admin.,single,secondary,0,100,1,0,cellular,11,aug,221,1,461,1,success,1
1739,49,housemaid,married,primary,0,889,0,0,telephone,7,jul,388,1,-1,0,unknown,1
1748,49,admin.,married,secondary,0,197,1,0,cellular,13,apr,223,1,182,2,failure,1
1754,29,management,single,tertiary,0,1445,0,0,cellular,26,apr,328,2,143,2,success,1
1755,38,technician,married,secondary,0,226,1,0,unknown,30,may,762,3,-1,0,unknown,1
1760,35,technician,married,secondary,0,0,1,0,cellular,9,nov,524,1,96,5,success,1
1763,57,blue-collar,married,secondary,0,2887,0,0,cellular,21,aug,819,10,-1,0,unknown,1
1767,51,management,single,tertiary,0,297,1,0,cellular,15,may,415,4,375,1,failure,1
1822,31,management,married,tertiary,0,156,0,0,cellular,13,aug,657,7,-1,0,unknown,1
1837,39,technician,divorced,tertiary,1,3,0,0,cellular,6,may,488,1,-1,0,unknown,1
1844,54,management,married,tertiary,0,8295,0,0,cellular,5,jun,207,1,-1,0,unknown,1
1846,51,self-employed,married,secondary,0,95,1,0,cellular,23,jul,1309,4,-1,0,unknown,1
1854,34,management,single,tertiary,0,2646,0,0,cellular,14,apr,142,1,-1,0,unknown,1
1862,47,blue-collar,married,secondary,0,1230,1,0,cellular,30,apr,412,1,169,1,success,1
1872,34,admin.,married,secondary,0,247,0,0,cellular,8,oct,401,2,-1,0,unknown,1
1876,26,blue-collar,single,primary,0,-887,1,0,cellular,18,may,827,2,-1,0,unknown,1
1886,39,technician,divorced,secondary,0,902,1,0,cellular,10,feb,691,2,180,5,failure,1
1889,42,management,married,tertiary,0,1205,0,0,telephone,8,sep,376,2,-1,0,unknown,1
1899,40,management,single,tertiary,0,1361,0,0,cellular,29,jan,1473,1,-1,0,unknown,1
1904,28,student,single,tertiary,0,0,0,0,cellular,28,sep,294,2,105,7,other,1
1905,46,management,married,tertiary,0,273,1,0,cellular,18,mar,910,2,184,4,success,1
1913,48,housemaid,married,primary,0,7195,0,0,cellular,21,nov,609,2,-1,0,unknown,1
1914,30,services,single,tertiary,0,-477,0,1,cellular,21,aug,1532,2,-1,0,unknown,1
1915,29,management,single,tertiary,0,1026,0,0,cellular,12,nov,226,1,92,1,other,1
1917,53,unemployed,married,primary,0,980,1,0,cellular,3,dec,352,1,-1,0,unknown,1
1927,71,retired,married,primary,0,4657,0,0,cellular,16,feb,93,5,-1,0,unknown,1
1928,22,student,single,primary,0,3472,0,0,cellular,20,oct,332,1,183,3,failure,1
1934,27,technician,single,secondary,0,489,1,0,cellular,30,jul,356,4,-1,0,unknown,1
1940,27,student,single,secondary,0,213,0,0,cellular,27,mar,378,1,-1,0,unknown,1
1946,42,services,divorced,secondary,0,257,1,0,cellular,12,may,955,2,-1,0,unknown,1
1952,41,admin.,divorced,secondary,0,6046,1,1,telephone,15,mar,300,6,182,2,success,1
1962,25,unemployed,single,tertiary,0,343,0,0,cellular,1,jun,377,1,-1,0,unknown,1
1974,44,technician,single,secondary,0,7138,0,0,cellular,8,aug,809,2,-1,0,unknown,1
1991,37,entrepreneur,divorced,tertiary,0,66,0,0,cellular,18,nov,1164,2,-1,0,unknown,1
1994,44,management,married,primary,0,4758,1,0,cellular,22,jul,712,6,-1,0,unknown,1
2014,74,retired,divorced,secondary,0,4079,0,0,cellular,19,oct,343,3,-1,0,unknown,1
2015,40,management,single,tertiary,0,0,1,0,cellular,23,feb,228,2,182,6,failure,1
2017,34,technician,single,tertiary,0,925,1,0,cellular,13,apr,709,1,-1,0,unknown,1
2032,59,management,married,primary,0,1727,0,0,telephone,25,may,500,4,358,2,failure,1
2033,41,blue-collar,divorced,primary,0,664,0,1,cellular,15,jul,955,5,-1,0,unknown,1
2037,30,management,married,tertiary,0,1942,1,1,cellular,21,nov,436,2,178,3,other,1
2049,59,technician,married,primary,0,4198,0,0,cellular,14,jan,309,1,91,10,success,1
2051,31,admin.,single,secondary,0,747,1,0,unknown,26,may,543,2,-1,0,unknown,1
2055,48,technician,married,secondary,0,568,1,0,cellular,2,sep,378,2,386,1,success,1
2068,47,technician,married,secondary,0,1167,1,0,cellular,30,apr,968,1,87,5,failure,1
2073,33,blue-collar,single,secondary,0,697,0,0,cellular,6,feb,860,2,-1,0,unknown,1
2077,30,management,single,tertiary,0,201,1,0,cellular,17,mar,325,2,-1,0,unknown,1
2089,38,management,single,tertiary,0,104,1,0,cellular,6,may,606,3,-1,0,unknown,1
2114,33,management,married,tertiary,0,1412,1,0,unknown,19,aug,480,1,-1,0,unknown,1
2120,62,retired,divorced,tertiary,0,0,0,0,cellular,13,nov,227,2,-1,0,unknown,1
2122,48,unemployed,married,secondary,0,817,0,0,cellular,14,jan,517,1,282,4,success,1
2129,41,admin.,married,primary,0,-306,1,0,unknown,15,may,500,1,-1,0,unknown,1
2131,35,housemaid,married,tertiary,0,1265,1,0,cellular,15,may,326,5,179,4,failure,1
2140,47,housemaid,single,tertiary,0,3727,0,0,unknown,12,jun,993,6,-1,0,unknown,1
2143,37,management,married,tertiary,0,4089,1,0,cellular,2,feb,289,2,174,4,other,1
2148,62,management,married,tertiary,0,1859,0,0,telephone,6,aug,245,3,-1,0,unknown,1
2159,33,services,married,secondary,0,386,0,0,cellular,12,nov,253,1,92,4,failure,1
2168,40,services,married,secondary,0,1836,1,0,cellular,12,may,750,2,-1,0,unknown,1
2176,28,blue-collar,single,secondary,0,-46,1,0,cellular,1,sep,199,1,92,14,success,1
2182,43,entrepreneur,married,secondary,0,104,1,0,cellular,18,jul,635,3,-1,0,unknown,1
2195,23,entrepreneur,single,primary,0,4,1,0,unknown,13,may,395,2,-1,0,unknown,1
2202,29,management,married,tertiary,0,199,1,1,unknown,7,may,1689,4,-1,0,unknown,1
2212,34,management,married,tertiary,0,3301,1,0,cellular,17,jun,485,2,227,4,failure,1
2213,24,student,single,secondary,0,822,0,0,cellular,27,oct,184,1,91,2,failure,1
2219,44,technician,married,secondary,0,2776,1,0,cellular,27,jan,701,1,-1,0,unknown,1
2220,33,blue-collar,married,secondary,0,139,1,1,cellular,18,may,732,2,291,5,failure,1
2233,24,services,married,secondary,0,4500,1,0,cellular,11,may,733,2,-1,0,unknown,1
2251,37,management,married,tertiary,0,238,0,0,cellular,3,feb,185,1,92,1,success,1
2259,41,management,married,tertiary,0,326,1,0,cellular,5,may,788,1,-1,0,unknown,1
2274,35,admin.,single,secondary,0,0,1,0,cellular,13,may,1073,1,-1,0,unknown,1
2296,32,blue-collar,married,secondary,0,1905,1,0,cellular,16,jul,709,2,-1,0,unknown,1
2321,27,services,single,secondary,0,54,1,0,unknown,28,may,543,2,-1,0,unknown,1
2332,30,management,married,tertiary,0,102,1,0,cellular,5,apr,470,7,426,3,other,1
2370,37,technician,single,secondary,0,-242,1,0,cellular,13,aug,1149,6,-1,0,unknown,1
2372,43,services,single,secondary,0,3403,1,0,cellular,12,nov,707,2,97,2,success,1
2375,26,unemployed,single,secondary,0,622,0,0,cellular,28,jan,1451,2,-1,0,unknown,1
2376,35,services,married,secondary,0,152,1,0,unknown,2,jun,563,1,-1,0,unknown,1
2419,41,blue-collar,single,secondary,1,-386,0,1,cellular,20,nov,477,1,-1,0,unknown,1
2421,44,management,single,tertiary,0,5063,0,0,cellular,27,oct,418,2,-1,0,unknown,1
2431,42,unemployed,married,secondary,0,1289,0,0,cellular,15,jul,250,4,415,2,failure,1
2433,73,retired,married,primary,0,796,0,0,cellular,23,oct,427,1,182,2,failure,1
2436,51,technician,married,secondary,0,117,0,0,cellular,24,aug,467,2,88,4,other,1
2444,35,management,married,secondary,0,724,1,0,cellular,14,jul,287,2,415,1,failure,1
2449,36,management,married,tertiary,0,925,0,0,cellular,14,dec,321,3,189,4,success,1
2464,23,technician,single,tertiary,0,1129,1,0,unknown,28,may,806,1,-1,0,unknown,1
2471,22,student,single,secondary,0,2488,0,0,cellular,8,nov,449,2,38,10,other,1
2477,53,unknown,married,primary,0,732,0,0,cellular,27,oct,759,2,-1,0,unknown,1
2480,35,admin.,divorced,secondary,0,3636,0,1,cellular,21,nov,808,2,-1,0,unknown,1
2486,50,unknown,married,unknown,0,558,0,0,cellular,9,jul,464,1,683,6,failure,1
2499,37,management,married,tertiary,0,5355,0,0,telephone,17,feb,466,4,-1,0,unknown,1
2512,53,housemaid,married,primary,0,104,0,1,unknown,5,jun,701,1,-1,0,unknown,1
2539,44,technician,divorced,secondary,0,14,0,0,cellular,13,nov,167,1,92,1,success,1
2540,31,management,married,tertiary,0,4148,1,0,cellular,21,nov,316,3,99,9,other,1
2553,33,management,married,tertiary,0,1064,1,0,cellular,13,may,562,1,-1,0,unknown,1
2556,34,admin.,divorced,secondary,0,479,1,0,cellular,12,may,515,1,350,5,failure,1
2568,61,retired,married,secondary,0,2917,0,0,cellular,6,oct,215,1,-1,0,unknown,1
2583,52,technician,married,tertiary,0,2557,0,0,cellular,28,jan,134,5,204,2,success,1
2619,49,services,married,secondary,0,823,0,0,cellular,8,aug,780,4,-1,0,unknown,1
2633,50,management,single,tertiary,0,1200,0,0,cellular,14,aug,904,3,-1,0,unknown,1
